type	latitude	longitude	altitude (m)	name
T	41.168000000	-71.585000000	21.6	1k
T	37.363000000	-121.929000000	13.4	
T	33.450000000	-93.996000000	103.8	
T	48.471000000	-122.422000000	35.0	
T	33.457000000	-80.863000000	52.0	
T	34.897000000	-86.557000000	241.0	
T	29.000000000	-81.000000000	8.1	
T	38.185000000	-95.484000000	327.1	
T	48.311000000	-114.256000000	904.2	
T	33.312000000	-86.926000000	212.1	
T	42.799000000	-77.842000000	169.8	
T	32.571000000	-116.964000000	152.4	
T	40.165000000	-84.308000000	300.2	
T	34.259000000	-118.413000000	300.2	
T	62.070000000	-160.564000000	29.3	
T	25.475000000	-76.684000000	4.2	
T	33.990000000	-83.677000000	275.0	
T	61.177000000	-151.153000000	47.1	
T	32.410000000	-97.387000000	251.3	
T	33.454000000	-92.758000000	41.0	
T	27.977000000	-82.759000000	21.1	
T	42.537000000	-99.959000000	786.7	
T	48.065000000	-96.257000000	336.5	
T	34.174000000	-118.293000000	172.1	
T	34.884000000	-112.156000000	1301.6	
T	33.970000000	-117.620000000	191.8	
T	41.372000000	-73.482000000	137.7	
T	35.146000000	-106.801000000	1774.5	
T	38.512000000	-121.493000000	6.1	
T	35.704000000	-79.504000000	181.8	
T	37.042000000	-113.508000000	876.9	
T	31.520000000	-83.800000000	100.7	
T	43.733000000	-81.700000000	224.9	
T	32.822000000	-116.970000000	116.1	
T	36.374000000	-86.408000000	167.9	
T	62.276000000	-150.980000000	207.7	
T	24.726000000	-81.229000000	0.0	
T	40.524000000	-80.406000000	372.1	
T	41.361000000	-72.744000000	99.7	
T	37.378000000	-79.122000000	259.5	
T	41.494000000	-73.451000000	129.8	
T	34.872000000	-95.788000000	227.5	
T	39.410000000	-107.210000000	1865.1	
T	44.703000000	-67.479000000	25.8	
T	62.381000000	-151.909000000	96.7	
T	41.251000000	-70.068000000	9.4	
T	41.191000000	-112.008000000	1350.1	
T	39.406000000	-119.241000000	1285.1	
T	37.909000000	-99.403000000	660.5	
T	41.708000000	-86.317000000	235.0	
T	34.608000000	-120.075000000	205.3	
T	38.611000000	-94.344000000	271.9	
T	41.689000000	-72.867000000	59.4	
T	52.828000000	0.459000000	10.2	
T	48.519000000	-116.822000000	751.3	
T	38.107000000	-122.126000000	184.3	
T	33.573000000	-84.911000000	320.8	
T	39.909000000	-105.120000000	1709.1	
T	33.176000000	-96.589000000	175.2	
T	43.022000000	-91.124000000	200.0	
T	44.022000000	-89.098000000	243.4	
T	47.640000000	-111.966000000	1209.5	
T	33.398000000	-96.485000000	208.4	
T	37.376000000	-120.573000000	55.5	
T	34.339000000	-119.056000000	91.1	
T	37.468000000	-93.930000000	317.8	
T	67.874000000	-156.932000000	615.6	
T	43.985000000	-88.577000000	251.4	
T	-25.854000000	27.534000000	1765.9	
T	28.342000000	-80.686000000	1.0	
T	41.533000000	-71.280000000	50.4	
T	33.430000000	-112.369000000	293.4	
T	44.569000000	-72.018000000	355.1	
T	39.909000000	-105.117000000	1714.0	
T	39.930000000	-86.040000000	246.6	
T	40.463000000	-119.367000000	1382.3	
T	61.568000000	-149.552000000	99.5	
T	44.734000000	-103.862000000	966.8	
T	34.571000000	-114.358000000	231.9	
T	36.585000000	-86.478000000	246.6	
T	34.860000000	-86.758000000	250.9	
T	44.950000000	-84.621000000	385.6	
T	32.239000000	-81.439000000	11.4	
T	40.559000000	-124.149000000	16.2	
T	43.344000000	-72.517000000	170.6	
T	44.520000000	-109.024000000	1545.7	
T	41.597000000	-74.461000000	167.2	
T	40.509000000	-122.293000000	151.4	
T	62.169000000	-145.410000000	401.1	
T	45.459000000	74.547000000	346.7	
T	35.018000000	-80.622000000	204.1	
T	29.658000000	-81.689000000	9.7	
T	42.154000000	-121.721000000	1246.0	
T	40.596000000	-111.988000000	1404.3	
T	45.427000000	-122.944000000	42.1	
T	28.876000000	-99.005000000	176.5	
T	30.444000000	-87.660000000	24.6	
T	30.246000000	-87.701000000	2.1	
T	61.194000000	-152.028000000	125.5	
T	41.126000000	-100.684000000	844.0	
T	33.114000000	-115.365000000	-6.8	
