type	latitude	longitude	altitude (m)	name
T	39.008000000	-74.914000000	4.2	
T	47.713000000	-117.920000000	832.5	
T	34.135000000	-117.663000000	522.3	
T	28.753000000	-82.647000000	0.0	
T	33.269000000	-111.811000000	377.0	
T	33.269000000	-111.811000000	377.0	
T	34.389000000	-103.045000000	1263.4	
T	41.344000000	-82.178000000	240.5	
T	34.111000000	-84.449000000	273.9	
T	34.160000000	-111.726000000	697.8	
T	61.216000000	-149.842000000	40.7	
T	44.497000000	-123.289000000	74.6	
T	61.859000000	-150.126000000	40.9	
T	29.690000000	-82.272000000	39.0	
T	40.351000000	-122.205000000	112.8	
T	31.411000000	-86.090000000	77.9	
T	41.916000000	-72.777000000	56.3	
T	35.879000000	-86.378000000	185.6	
T	42.332000000	-118.316000000	1373.9	
T	34.374000000	-118.962000000	106.6	
T	39.570000000	-104.849000000	1778.7	
T	29.824000000	-95.676000000	33.8	
T	32.682000000	-103.221000000	1111.8	
T	25.649000000	-80.429000000	1.5	
T	39.193000000	-119.735000000	1433.8	
T	38.655000000	-78.668000000	313.3	
T	32.318000000	-78.066000000		
T	40.000000000	-77.000000000	151.8	
T	34.138000000	-118.724000000	256.6	
T	34.848000000	-82.350000000	309.2	
T	39.221000000	-74.796000000	11.1	
T	37.159000000	-113.307000000	998.5	
T	40.823000000	-72.751000000	14.2	
T	39.901000000	-80.131000000	323.5	
T	44.666000000	-121.153000000	741.3	
T	42.664000000	-85.345000000	243.7	
T	37.330000000	-79.200000000	292.0	
T	35.071000000	-107.035000000	1716.7	
T	44.196000000	-73.349000000	41.2	
T	41.516000000	-75.252000000	409.1	
T	33.978000000	-83.962000000	311.0	
T	45.628000000	-122.404000000	127.7	
T	32.059000000	-82.154000000	54.7	
T	40.799000000	-72.612000000	0.0	
T	40.111000000	-104.701000000	1513.1	
T	34.079000000	-84.861000000	272.5	
T	28.304000000	-97.331000000	15.8	
T	32.969000000	-97.879000000	363.7	
T	28.706000000	-96.804000000	15.1	
T	61.252000000	-149.964000000	28.4	
T	36.681000000	-121.763000000	37.6	
T	33.386000000	-84.322000000	262.1	
T	39.237000000	-121.111000000	696.2	
T	30.055000000	-92.246000000	5.1	
T	37.936000000	-91.814000000	296.9	
T	40.533000000	-80.541000000	372.9	
T	30.039000000	-90.026000000	1.0	
T	42.367000000	-122.869000000	403.9	
T	36.638000000	-80.707000000	835.9	
T	30.336000000	-94.939000000	41.0	
T	37.894000000	-121.238000000	8.3	
T	29.539000000	-98.480000000	243.8	
T	39.069000000	-95.622000000	267.7	
T	32.132000000	-88.793000000	71.1	
T	35.417000000	-80.151000000	174.4	
T	33.980000000	-83.661000000	277.3	
T	29.823000000	-102.691000000	832.9	
T	35.966000000	-95.342000000	178.9	
T	27.412000000	-82.154000000	17.7	
T	43.507000000	-114.299000000	1617.6	
T	35.986000000	-85.809000000	329.9	
T	27.989000000	-82.019000000	40.0	
T	40.185000000	-74.122000000	42.6	
T	34.093000000	-117.792000000	293.5	
T	43.075000000	-116.771000000	2028.7	
T	34.210000000	-118.490000000	237.3	
T	40.034000000	-79.024000000	682.9	
T	32.897000000	-96.834000000	175.5	
T	64.611000000	-144.617000000	1187.4	
T	37.184000000	-78.102000000	127.5	
T	27.459000000	-81.343000000	17.9	
T	27.459000000	-81.343000000	17.9	
T	34.839000000	-82.349000000	287.4	
T	42.171000000	-112.289000000	1368.4	
T	61.235000000	-149.943000000	0.0	
T	40.483000000	-111.426000000	1712.6	
T	44.417000000	-83.486000000	203.6	
T	59.190000000	-155.150000000	250.0	
T	33.311000000	-79.320000000	5.8	
T	43.239000000	-123.356000000	156.2	
T	62.570000000	-162.850000000	121.8	
T	59.325000000	-155.901000000	26.6	
T	38.190000000	-90.384000000	121.6	
T	39.418000000	-77.374000000	88.4	
T	29.644000000	-95.656000000	25.5	
T	37.230000000	-106.967000000	2259.0	
T	40.972000000	-98.315000000	561.5	
T	34.111000000	-117.687000000	428.2	
T	41.922000000	-84.588000000	354.7	
T	41.077000000	-71.921000000	1.2	
T	35.124000000	-114.531000000	340.8	
T	34.514000000	-109.370000000	1735.4	
T	45.450000000	-120.864000000	123.7	
T	41.708000000	-73.738000000	202.2	
T	41.708000000	-73.738000000	202.2	
T	39.943000000	-74.845000000	13.0	
T	42.454000000	-71.183000000	62.5	
T	39.714000000	-119.866000000	1592.9	
T	39.714000000	-119.866000000	1592.9	
T	35.238000000	-120.641000000	58.9	
T	60.941000000	-151.961000000	16.8	
T	40.145000000	-111.667000000	1378.8	
T	36.348000000	-94.219000000	394.1	
T	25.862000000	-80.897000000	2.6	
T	36.926000000	-111.448000000	1298.3	
T	29.130000000	-98.750000000	206.5	
T	39.909000000	-105.117000000	1714.0	
T	33.975000000	-117.636000000	191.4	
T	26.609000000	-80.083000000	3.0	
T	34.856000000	-102.326000000	1153.0	
T	38.377000000	-120.794000000	513.7	
T	43.153000000	-93.336000000	364.2	
T	29.742000000	-81.474000000	5.5	
T	36.226000000	-90.037000000	79.0	
T	44.368000000	-88.159000000	199.7	
T	33.051000000	-97.232000000	188.7	
T	35.791000000	-115.319000000	881.2	
T	37.862000000	-120.179000000	883.1	
T	62.300000000	-142.533000000	1586.0	
T	37.539000000	-77.326000000	49.2	
T	42.904000000	-82.550000000	192.9	
T	37.874000000	-92.407000000	339.0	
T	62.453000000	-148.687000000	1024.8	
T	48.660000000	-112.496000000	1203.8	
T	34.257000000	-118.409000000	294.8	
T	37.088000000	-84.076000000	362.6	
T	34.201000000	-118.359000000	221.7	
T	59.566000000	-139.741000000	0.0	
T	31.855000000	-102.074000000	852.6	
T	38.515000000	-89.091000000	158.7	
