type	latitude	longitude	altitude (m)	name
T	26.150000000	-81.779000000	1.3	
T	39.084000000	-76.762000000	36.9	
T	36.267000000	-95.784000000	213.3	
T	39.668000000	-119.876000000	1532.7	
T	64.528000000	-150.423000000	148.5	
T	63.951000000	-144.672000000	342.8	
T	36.226000000	-90.037000000	79.0	
T	36.666000000	-76.321000000	4.4	
T	28.867000000	-89.302000000		
T	33.270000000	-111.814000000	376.2	
T	30.075000000	-93.695000000	0.3	
T	32.404000000	-111.220000000	616.2	
T	40.924000000	-85.017000000	242.0	
T	33.728000000	-117.031000000	458.4	
T	35.201000000	-90.054000000	68.4	
T	33.688000000	-112.082000000	445.7	
T	18.338000000	-64.967000000	7.7	
T	38.945000000	-76.773000000	49.3	
T	25.998000000	-80.241000000	1.9	
T	37.669000000	-98.124000000	487.0	
T	38.806000000	-104.701000000	1864.3	
T	32.991000000	-111.917000000	395.0	
T	30.358000000	-85.796000000	19.6	
T	29.845000000	-82.048000000	56.6	
T	24.732000000	-81.070000000	0.0	
T	35.971000000	-115.134000000	745.9	
T	34.400000000	-100.887000000	732.6	
T	59.935000000	-165.577000000	0.0	
T	39.039000000	-122.908000000	405.9	
T	32.220000000	-91.870000000	17.9	
T	42.743000000	-94.647000000	372.9	
T	32.464000000	-96.921000000	207.9	
T	61.416000000	-149.508000000	22.5	
T	41.015000000	-111.581000000	1983.3	
T	33.863000000	-87.845000000	127.5	
T	38.369000000	-81.602000000	286.4	
T	39.268000000	-108.864000000	1441.1	
T	60.969000000	-149.119000000	60.8	
T	46.319000000	-87.282000000	323.8	
T	37.512000000	-122.249000000	1.0	
T	45.865000000	-84.637000000	224.5	
T	34.539000000	-87.531000000	180.3	
T	36.198000000	-95.888000000	193.0	
T	29.908000000	-96.950000000	96.6	
T	42.933000000	-71.436000000	69.0	
T	61.229000000	-151.769000000	711.5	
T	30.369000000	-87.688000000	16.7	
T	34.092000000	-118.031000000	88.4	
T	35.583000000	-89.587000000	83.7	
T	30.404000000	-95.437000000	82.5	
T	34.655000000	-112.419000000	1520.1	
T	47.276000000	-114.124000000	1110.7	
T	33.351000000	-98.819000000	385.0	
T	62.321000000	-150.093000000	109.3	
T	44.182000000	-122.078000000	520.7	
T	60.942000000	-151.961000000	17.0	
T	34.423000000	-119.837000000	3.3	
T	34.730000000	-112.035000000	1079.4	
T	40.405000000	-86.243000000	264.9	
T	35.534000000	-97.647000000	390.1	
T	40.719000000	-114.031000000	1287.4	
T	31.404000000	-97.214000000	197.7	
T	33.734000000	-117.021000000	460.6	
T	61.493000000	-151.906000000	302.7	
T	37.689000000	-121.819000000	118.9	
T	27.979000000	-82.528000000	6.0	
T	47.209000000	-93.510000000	399.3	
T	42.625000000	-83.973000000	284.6	
T	47.619000000	-117.535000000	719.6	
T	36.179000000	-106.961000000	2266.1	
T	37.860000000	-76.885000000	34.3	
T	64.280000000	-148.110000000	245.8	
T	39.691000000	-75.638000000	1.2	
T	29.817000000	-89.276000000	0.0	
T	41.700000000	-73.729000000	211.2	
T	44.708000000	-100.062000000	571.9	
T	30.026000000	-90.030000000	1.7	
T	36.367000000	-82.182000000	469.4	
T	26.381000000	-98.817000000	56.6	
T	37.894000000	-121.239000000	8.1	
T	36.274000000	-81.578000000	1006.5	
T	30.970000000	-87.206000000	12.5	
T	35.098000000	-97.969000000	347.2	
T	61.179000000	-149.958000000	22.4	
T	39.930000000	-84.023000000	267.4	
T	41.378000000	-79.861000000	467.7	
T	47.049000000	-91.745000000	323.6	
T	41.786000000	-87.752000000	185.0	
T	35.292000000	-98.970000000	472.6	
T	25.998000000	-80.238000000	2.0	
T	40.172000000	-75.080000000	68.8	
T	42.848000000	-92.117000000	331.5	
T	38.290000000	-104.498000000	1426.8	
T	48.436000000	-105.761000000	867.9	
T	25.648000000	-80.433000000	1.5	
T	37.724000000	-122.212000000	2.3	
T	38.311000000	-75.124000000	1.2	
T	38.815000000	-78.771000000	383.2	
T	40.938000000	-97.502000000	498.6	
T	61.037000000	-149.045000000	1667.7	
T	38.141000000	-122.556000000	0.1	
T	38.721000000	-77.515000000	52.7	
T	60.589000000	-152.158000000	8.0	
T	46.701000000	-92.504000000	389.1	
T	38.944000000	-104.570000000	2076.1	
T	38.724000000	-120.753000000	783.5	
T	35.032000000	-85.205000000	206.6	
T	30.515000000	-87.872000000	34.0	
T	40.448000000	-109.507000000	1600.3	
T	43.955000000	-88.664000000	269.4	
T	63.329000000	-142.952000000	501.0	
T	36.059000000	-85.528000000	314.8	
T	29.251000000	-107.404000000	1837.1	
T	41.783000000	-87.745000000	185.3	
T	31.807000000	-106.376000000	1201.1	
T	43.772000000	-84.946000000	278.2	
T	47.559000000	-121.864000000	39.2	
T	36.981000000	-77.003000000	32.0	
T	43.557000000	-90.889000000	386.4	
T	40.167000000	-97.715000000	489.1	
T	32.136000000	-84.194000000	141.0	
T	42.850000000	-103.085000000	988.1	
T	43.991000000	-88.560000000	237.6	
T	62.478000000	-153.520000000	346.7	
T	33.999000000	-96.642000000	216.6	
T	43.561000000	-116.218000000	868.7	
T	48.052000000	-122.801000000	32.5	
T	43.484000000	-84.484000000	210.2	
T	36.228000000	-121.121000000	114.1	
T	61.688000000	-151.401000000	220.0	
T	36.832000000	-114.057000000	582.6	
T	45.619000000	-121.168000000	69.5	
T	45.354000000	-117.633000000	1092.4	
T	33.688000000	-112.082000000	445.7	
T	39.579000000	-104.851000000	1771.0	
T	28.777000000	-81.235000000	13.5	
T	41.627000000	-73.884000000	47.2	
T	35.947000000	-112.153000000	1995.0	
T	44.968000000	-114.733000000	1116.0	
T	38.339000000	-75.062000000	0.0	
T	45.518000000	-102.468000000	846.0	
T	44.537000000	-115.351000000	1758.1	
T	29.901000000	-81.312000000	1.1	
T	29.693000000	-81.507000000	3.4	
T	41.294000000	-86.622000000	217.2	
T	45.310000000	-92.690000000	271.6	
T	39.905000000	-105.114000000	1708.7	
T	35.599000000	-92.457000000	152.8	
T	28.546000000	-81.332000000	32.6	
T	46.251000000	-114.126000000	1104.2	
T	38.401000000	-93.332000000	287.2	
T	62.319000000	-150.113000000	105.4	
T	42.135000000	-87.892000000	198.1	
T	55.299000000	-131.632000000	54.5	
T	29.658000000	-81.689000000	9.7	
T	15.124000000	145.731000000	62.1	
T	41.393000000	-70.614000000	18.1	
T	37.187000000	-77.503000000	57.9	
T	41.319000000	-81.961000000	246.4	
T	61.617000000	-149.322000000	136.9	
T	41.101000000	-102.985000000	1307.5	
T	27.267000000	-80.850000000	9.1	
T	33.641000000	-95.454000000	163.6	
T	59.444000000	-151.705000000	13.6	
T	43.548000000	-83.895000000	177.6	
T	34.388000000	-89.531000000	116.4	
T	62.630000000	-149.830000000	922.0	
T	25.005000000	-80.532000000	1.4	
T	19.911000000	-155.812000000	239.7	
T	44.439000000	-69.267000000	137.2	
T	44.209000000	-114.934000000	1948.1	
T	35.857000000	-83.524000000	300.7	
T	35.334000000	-94.266000000	120.0	
T	35.919000000	-75.696000000	3.4	
T	46.567000000	-120.537000000	322.1	
T	32.966000000	-96.833000000	195.7	
T	41.330000000	-82.108000000	229.8	
T	34.939000000	-82.227000000	309.7	
T	30.388000000	-96.088000000	65.7	
T	31.183000000	-81.261000000	0.0	
T	42.564000000	-75.524000000	305.2	
T	34.813000000	-82.700000000	303.8	
T	28.138000000	-82.147000000	23.7	
T	40.858000000	-80.195000000	372.3	
T	61.482000000	-149.744000000	72.9	
T	33.688000000	-112.082000000	445.7	
T	28.000000000	-81.000000000	14.7	
T	41.196000000	-96.112000000	317.2	
T	39.888000000	-95.517000000	340.5	
T	38.203000000	-94.738000000	303.8	
T	34.955000000	-78.918000000	34.8	
T	40.850000000	-77.848000000	371.7	
T	40.875000000	-74.281000000	52.2	
T	32.841000000	-93.835000000	58.7	
T	30.638000000	-86.994000000	24.7	
T	29.471000000	-103.936000000	1290.6	
T	40.438000000	-104.633000000	1420.0	
T	26.735000000	-81.051000000	5.8	
T	37.816000000	-85.965000000	208.5	
T	43.864000000	-121.455000000	1267.5	
T	30.358000000	-85.796000000	19.6	
T	36.041000000	-95.983000000	189.2	
T	39.988000000	-81.181000000	382.9	
T	21.581000000	-158.188000000	1.0	
T	41.330000000	-72.045000000	2.8	
T	39.006000000	-119.157000000	1333.6	
T	33.901000000	-87.304000000	141.1	
T	42.717000000	-82.611000000	186.8	
T	33.870000000	-117.991000000	24.8	
T	36.893000000	-121.410000000	67.7	
T	40.846000000	-84.158000000	238.8	
T	35.964000000	-83.874000000	253.7	
T	61.996000000	-159.367000000	16.0	
T	37.043000000	-100.921000000	864.1	
T	40.583000000	-74.737000000	55.9	
T	42.084000000	-76.094000000	251.6	
T	34.113000000	-117.681000000	437.0	
T	37.634000000	-85.242000000	259.3	
T	61.243000000	-150.415000000	4.9	
T	38.013000000	-75.819000000	1.3	
T	30.782000000	-95.488000000	69.4	
T	26.148000000	-97.590000000	7.9	
T	32.698000000	-95.214000000	124.9	
T	44.867000000	-123.198000000	54.0	
T	28.620000000	-81.349000000	19.8	
T	33.070000000	-96.065000000	162.5	
T	65.337000000	-146.726000000	630.9	
T	33.068000000	-96.065000000	162.8	
T	33.068000000	-96.065000000	162.8	
T	60.320000000	-150.597000000	260.9	
T	38.350000000	-94.340000000	263.0	
T	38.044000000	-121.839000000	0.0	
T	34.982000000	-106.013000000	1889.1	
T	33.989000000	-117.410000000	230.7	
T	40.273000000	-74.808000000	52.8	
T	37.566000000	-97.174000000	409.1	
T	28.294000000	-81.440000000	24.2	
T	35.617000000	-106.089000000	1922.4	
T	43.998000000	-69.884000000	12.6	
T	39.446000000	-87.317000000	173.1	
T	39.104000000	-101.007000000	967.8	
T	46.661000000	-68.389000000	176.9	
T	38.525000000	-121.704000000	13.0	
T	40.412000000	-86.937000000	181.3	
T	39.608000000	-77.008000000	238.9	
T	34.021000000	-100.328000000	586.5	
T	59.040000000	-158.458000000	29.9	
T	47.493000000	-122.216000000	7.1	
T	30.543000000	-87.565000000	39.7	
T	38.526000000	-77.860000000	91.6	
T	34.849000000	-111.788000000	1466.4	
T	39.570000000	-104.849000000	1778.7	
T	36.291000000	-92.590000000	207.7	
T	40.482000000	-111.428000000	1710.7	
T	40.960000000	-80.680000000	308.3	
T	40.614000000	-84.000000000	319.5	
T	38.149000000	-89.699000000	160.9	
T	38.193000000	-90.386000000	131.2	
T	64.360000000	-147.360000000	254.4	
T	32.390000000	-97.434000000	262.4	
T	38.926000000	-74.943000000	0.0	
T	32.224000000	-80.698000000	4.9	
T	37.038000000	-121.118000000	166.7	
T	41.375000000	-81.193000000	350.6	
T	38.942000000	-76.772000000	47.6	
T	33.044000000	-84.432000000	232.9	
T	27.163000000	-80.286000000	5.2	
T	40.088000000	-123.808000000	139.1	
T	37.778000000	-89.252000000	124.5	
T	42.343000000	-88.897000000	290.5	
T	41.446000000	-72.458000000	2.4	
T	63.002000000	-156.367000000	312.8	
T	31.232000000	-81.355000000	5.0	
T	46.097000000	-97.919000000	431.9	
T	38.174000000	-111.249000000	2326.0	
T	45.921000000	-116.218000000	996.8	
T	31.418000000	-110.848000000	1186.4	
T	38.398000000	-77.456000000	57.5	
T	34.020000000	-106.902000000	1458.1	
T	38.010000000	-77.967000000	147.7	
T	39.851000000	-85.884000000	260.7	
T	28.846000000	-98.878000000	151.9	
T	43.423000000	-116.712000000	683.5	
T	33.618000000	-80.694000000	65.6	
T	33.358000000	-84.572000000	232.9	
T	41.803000000	-78.640000000	645.1	
T	34.598000000	-91.575000000	66.8	
T	28.630000000	-81.389000000	28.6	
T	29.183000000	-95.994000000	24.1	
T	29.479000000	-95.327000000	15.1	
T	38.515000000	-89.091000000	158.7	
T	40.465000000	-105.086000000	1566.1	
T	42.539000000	-122.904000000	432.8	
T	42.725000000	-114.447000000	1235.3	
T	38.085000000	-103.201000000	1185.4	
T	45.784000000	-111.161000000	1353.8	
T	33.178000000	-91.880000000	54.8	
T	60.525000000	-150.996000000	58.7	
T	62.961000000	-141.928000000	523.6	
T	39.942000000	-74.849000000	12.1	
T	39.019000000	-108.768000000	2073.9	
T	26.202000000	-81.707000000	3.2	
T	29.516000000	-96.398000000	46.3	
T	35.213000000	-80.668000000	239.5	
T	37.132000000	-76.493000000	11.1	
T	46.423000000	-92.806000000	317.3	
T	33.627000000	-90.374000000	37.3	
T	42.910000000	-77.330000000	244.1	
T	38.955000000	-121.082000000	457.9	
T	30.433000000	-87.702000000	16.6	
T	39.189000000	-121.709000000	18.5	
T	40.487000000	-85.684000000	259.7	
T	35.794000000	-115.627000000	786.6	
T	40.109000000	-85.613000000	273.5	
T	41.454000000	-87.007000000	231.4	
T	38.967000000	-117.183000000	1675.0	
T	61.129000000	-142.415000000	395.2	
T	46.491000000	-116.277000000	342.1	
T	32.771000000	-98.043000000	238.5	
T	40.360000000	-121.511000000	1468.2	
T	40.764000000	-78.211000000	655.5	
T	35.073000000	-77.043000000	4.8	
T	35.927000000	-119.272000000	84.8	
T	38.909000000	-121.351000000	36.0	
T	34.363000000	-99.901000000	485.6	
T	40.278000000	-110.051000000	1567.9	
T	32.960000000	-112.674000000	237.7	
T	34.655000000	-112.419000000	1520.1	
T	41.149000000	-111.767000000	1519.6	
T	24.651000000	-82.867000000	0.0	
T	33.929000000	-117.575000000	189.7	
T	34.491000000	-77.531000000	10.5	
T	30.038000000	-99.186000000	575.8	
T	44.190000000	-120.821000000	1101.0	
T	30.678000000	-98.418000000	261.1	
T	33.620000000	-111.915000000	444.4	
T	33.984000000	-87.059000000	204.8	
T	43.526000000	-89.983000000	274.4	
T	45.548000000	-94.070000000	310.8	
T	33.871000000	-117.981000000	27.2	
T	30.722000000	-91.648000000	8.4	
T	38.066000000	-97.861000000	462.5	
T	43.763000000	-70.672000000	87.7	
T	44.808000000	-68.829000000	52.2	
T	40.677000000	-73.714000000	9.1	
T	33.975000000	-117.636000000	191.4	
T	40.225000000	-83.350000000	305.1	
T	33.872000000	-117.980000000	27.7	
T	43.329000000	-76.414000000	96.5	
T	41.527000000	-72.831000000	29.6	
T	45.589000000	-122.597000000	8.4	
T	26.292000000	-97.765000000	11.9	
T	37.017000000	-110.201000000	1562.1	
T	27.988000000	-82.019000000	39.5	
T	34.672000000	-82.884000000	271.2	
T	38.728000000	-120.745000000	764.3	
T	32.609000000	-82.370000000	97.5	
T	26.587000000	-81.863000000	4.0	
T	29.301000000	-81.114000000	7.8	
T	33.878000000	-88.488000000	67.3	
T	45.820000000	-119.281000000	190.2	
T	30.062000000	-95.553000000	45.7	
T	41.401000000	-92.946000000	267.4	
T	38.068000000	-97.275000000	465.8	
T	40.088000000	-75.006000000	34.4	
T	27.976000000	-82.533000000	7.5	
T	35.980000000	-94.070000000	378.2	
T	26.071000000	-80.142000000	2.4	
T	36.492000000	-79.312000000	157.5	
T	43.577000000	-85.284000000	291.5	
T	40.452000000	-105.011000000	1522.7	
T	25.999000000	-80.240000000	1.9	
T	25.999000000	-80.240000000	1.9	
T	32.128000000	-81.198000000	13.9	
T	44.497000000	-123.289000000	74.6	
T	33.938000000	-117.486000000	238.3	
T	62.333000000	-150.079000000	110.7	
T	39.464000000	-92.432000000	263.6	
T	44.670000000	-121.155000000	739.5	
T	46.567000000	-120.537000000	322.1	
T	32.816000000	-117.140000000	128.2	
T	28.777000000	-81.235000000	13.5	
T	30.351000000	-97.994000000	281.1	
T	33.889000000	-118.241000000	27.6	
T	33.889000000	-118.241000000	27.6	
T	27.000000000	-82.000000000	2.5	
T	38.780000000	-76.088000000	3.3	
T	35.270000000	-82.644000000	640.2	
T	40.176000000	-103.222000000	1420.5	
T	40.273000000	-79.408000000	349.3	
T	39.179000000	-84.380000000	262.6	
T	41.226000000	-92.494000000	254.9	
T	43.779000000	-116.939000000	677.8	
T	37.774000000	-97.113000000	410.5	
T	33.271000000	-111.807000000	378.0	
