Latitude,Longitude,altitude (m),Injury.Severity,Aircraft.Damage,Aircraft.Category,Make,Model,Number.of.Engines,Engine.Type,FAR.Description,Purpose.of.Flight,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Broad.Phase.of.Flight,Amateur.Built,Total.Passengers
32.354,-95.403,162.9,NON-FATAL,SUBSTANTIAL,AIRPLANE,CESSNA,180,1,RECIPROCATING,PART 91: GENERAL AVIATION,PERSONAL,0,0,0,1,VMC,TAKEOFF,NO,1
34.11,-117.67,423.6,FATAL,DESTROYED,AIRPLANE,CIRRUS,SR22,1,RECIPROCATING,PART 91: GENERAL AVIATION,PERSONAL,1,0,0,0,VMC,APPROACH,NO,1
39.909,-105.117,1714,NON-FATAL,SUBSTANTIAL,AIRPLANE,CESSNA,182,1,RECIPROCATING,PART 91: GENERAL AVIATION,PERSONAL,0,0,0,1,UNK,CRUISE,NO,1
41.621,-70.938,20.5,FATAL,DESTROYED,AIRPLANE,CESSNA,150,1,RECIPROCATING,PART 91: GENERAL AVIATION,PERSONAL,1,0,0,0,VMC,MANEUVERING,NO,1
35.034,-82.299,303.3,NON-FATAL,SUBSTANTIAL,AIRPLANE,ERCOUPE,415,1,RECIPROCATING,PART 91: GENERAL AVIATION,PERSONAL,0,0,0,1,VMC,LANDING,NO,1
25.797,-80.341,1,NON-FATAL,SUBSTANTIAL,AIRPLANE,BEECH,76,2,RECIPROCATING,PART 91: GENERAL AVIATION,PERSONAL,0,0,0,2,VMC,DESCENT,NO,2
33.884,-81.382,170.6,NON-FATAL,SUBSTANTIAL,AIRPLANE,AMERICAN AVIATION,AA 5,1,RECIPROCATING,PART 91: GENERAL AVIATION,PERSONAL,0,0,0,1,VMC,MANEUVERING,NO,1
32.026,-102.405,907,NON-FATAL,SUBSTANTIAL,AIRPLANE,CESSNA,T210,1,RECIPROCATING,PART 91: GENERAL AVIATION,PERSONAL,0,1,0,0,VMC,CRUISE,NO,1
27.176,-80.212,2.7,FATAL,DESTROYED,AIRPLANE,GRUMMAN,OV-1,2,TURBO PROP,PART 91: GENERAL AVIATION,AIR RACE/SHOW,1,0,0,0,VMC,MANEUVERING,NO,1
37.103,-88.817,117,FATAL,DESTROYED,AIRPLANE,PIPER,PA32R,1,RECIPROCATING,PART 91: GENERAL AVIATION,PERSONAL,1,0,0,0,VMC,APPROACH,NO,1
29.142,-82.194,22.4,FATAL,DESTROYED,AIRPLANE,BEECH,58,2,RECIPROCATING,PART 91: GENERAL AVIATION,FLIGHT TEST,2,1,0,0,VMC,TAKEOFF,NO,3
33.857,-84.291,274.7,FATAL,DESTROYED,AIRPLANE,PIPER,PA28R,1,RECIPROCATING,PART 91: GENERAL AVIATION,PERSONAL,2,0,0,0,IMC,TAKEOFF,NO,2
40.59,-74.311,25.3,FATAL,DESTROYED,AIRPLANE,CESSNA,414,2,RECIPROCATING,PART 91: GENERAL AVIATION,PERSONAL,1,0,0,0,IMC,APPROACH,NO,1
30.569,-88.377,23.1,NON-FATAL,SUBSTANTIAL,AIRPLANE,PIPER,J3C,1,RECIPROCATING,PART 91: GENERAL AVIATION,PERSONAL,0,0,0,2,VMC,TAKEOFF,NO,2
45.117,-92.996,285.6,NON-FATAL,DESTROYED,AIRPLANE,PIPER,PA22,1,RECIPROCATING,PART 91: GENERAL AVIATION,PERSONAL,0,1,0,0,VMC,TAKEOFF,NO,1
42.778,-112.895,1341.9,FATAL,SUBSTANTIAL,AIRPLANE,MOONEY,M20J,1,RECIPROCATING,PART 91: GENERAL AVIATION,PERSONAL,1,0,0,0,VMC,MANEUVERING,NO,1
25.913,-80.282,1.2,NON-FATAL,SUBSTANTIAL,AIRPLANE,PIPER,PA 30,2,RECIPROCATING,PART 91: GENERAL AVIATION,INSTRUCTIONAL,0,0,0,2,VMC,TAKEOFF,NO,2
43.384,-94.32,360.6,NON-FATAL,SUBSTANTIAL,AIRPLANE,CESSNA,172,1,RECIPROCATING,PART 91: GENERAL AVIATION,PERSONAL,0,0,1,0,VMC,CRUISE,NO,1
32.735,-101.743,895.2,NON-FATAL,MINOR,AIRPLANE,AIR TRACTOR,AT 502,1,TURBO PROP,PART 137: AGRICULTURAL,AERIAL APPLICATION,0,1,0,1,VMC,MANEUVERING,NO,2
41.335,-70.299,2.2,NON-FATAL,SUBSTANTIAL,AIRPLANE,MAULE,MX7,1,RECIPROCATING,PART 91: GENERAL AVIATION,PERSONAL,0,0,0,2,VMC,LANDING,NO,2
36.393,-105.287,2567.1,FATAL,SUBSTANTIAL,AIRPLANE,PIPER,PA 24,1,RECIPROCATING,PART 91: GENERAL AVIATION,PERSONAL,2,0,0,0,VMC,TAKEOFF,NO,2
28.103,-80.645,7.2,NON-FATAL,SUBSTANTIAL,AIRPLANE,PIPER,PA28,1,RECIPROCATING,PART 91: GENERAL AVIATION,INSTRUCTIONAL,0,0,0,2,IMC,CRUISE,NO,2
35.854,-78.758,127.2,FATAL,DESTROYED,AIRPLANE,PIPER,PA32,1,RECIPROCATING,PART 91: GENERAL AVIATION,PERSONAL,2,0,0,0,VMC,APPROACH,NO,2
35.551,-84.374,280.1,NON-FATAL,SUBSTANTIAL,AIRPLANE,BEECH,N35,1,RECIPROCATING,PART 91: GENERAL AVIATION,PERSONAL,0,0,0,1,VMC,GO-AROUND,NO,1
37.896,-121.259,5.9,NON-FATAL,SUBSTANTIAL,AIRPLANE,CESSNA,206,1,RECIPROCATING,PUBLIC AIRCRAFT,INSTRUCTIONAL,0,0,2,0,VMC,TAKEOFF,NO,2
29.451,-95.302,15.2,NON-FATAL,SUBSTANTIAL,AIRPLANE,ERCOUPE,415,1,RECIPROCATING,PART 91: GENERAL AVIATION,PERSONAL,0,0,0,1,VMC,CRUISE,NO,1
