type	latitude	longitude	altitude (m)	name
T	36.246000000	-90.955000000	82.8	1k
T	38.128000000	-91.769000000	342.5	
T	47.866000000	-119.943000000	383.1	
T	42.120000000	-121.694000000	1245.6	
T	35.919000000	-75.696000000	3.4	
T	45.875000000	-99.636000000	565.7	
T	33.784000000	-112.138000000	496.0	
T	61.538000000	-148.938000000	17.0	
T	35.784000000	-80.299000000	212.6	
T	42.407000000	-83.025000000	190.4	
T	40.939000000	-90.623000000	210.0	
T	63.859000000	-146.493000000	774.4	
T	30.276000000	-81.786000000	26.2	
T	33.425000000	-112.373000000	291.6	
T	30.369000000	-89.391000000	2.3	
T	64.193000000	-147.946000000	486.3	
T	45.150000000	-115.071000000	1337.4	
T	30.784000000	-98.661000000	331.3	
T	61.179000000	-149.964000000	22.0	
T	47.337000000	-122.104000000	141.1	
T	44.513000000	-94.300000000	303.2	
T	37.822000000	-76.969000000	48.5	
T	59.509000000	-139.664000000	10.9	
T	36.472000000	-97.940000000	407.6	
T	48.909000000	-122.565000000	17.8	
T	33.939000000	-81.119000000	66.6	
T	34.316000000	-81.109000000	173.6	
T	38.221000000	-86.873000000	150.3	
T	39.471000000	-98.129000000	429.6	
T	27.456000000	-81.342000000	17.7	
T	27.656000000	-80.418000000	5.7	
T	32.219000000	-98.510000000	408.7	
T	41.746000000	-72.628000000	9.0	
T	48.708000000	-122.911000000	5.9	
T	40.144000000	-111.666000000	1379.7	
T	64.477000000	-146.774000000	210.6	
T	37.503000000	-77.127000000	35.9	
T	42.403000000	-88.375000000	265.4	
T	39.189000000	-83.539000000	289.3	
T	42.422000000	-87.868000000	215.5	
T	61.536000000	-149.814000000	49.9	
T	32.828000000	-107.299000000	1263.5	
T	32.912000000	-100.541000000	556.5	
T	38.555000000	-121.297000000	25.9	
T	61.617000000	-149.322000000	136.9	
T	38.644000000	-88.965000000	173.0	
T	33.721000000	-96.673000000	223.8	
T	28.924000000	-81.651000000	31.9	
T	33.626000000	-82.496000000	100.4	
T	41.154000000	-104.785000000	1843.3	
T	36.430000000	-93.696000000	476.4	
T	33.036000000	-96.243000000	164.1	
T	40.026000000	-74.756000000	11.2	
T	33.690000000	-112.079000000	447.6	
T	28.000000000	-82.163000000	45.6	
T	27.197000000	-81.839000000	18.2	
T	42.030000000	-91.532000000	262.6	
T	31.999000000	-110.358000000	1165.0	
T	47.505000000	-122.219000000	5.1	
T	18.270000000	-66.400000000	627.6	
T	42.628000000	-89.598000000	305.2	
T	41.372000000	-73.482000000	137.7	
T	32.086000000	-97.101000000	204.1	
T	29.239000000	-81.079000000	7.9	
T	57.172000000	-135.277000000	6.6	
