type	latitude	longitude	altitude (m)	name
T	30.461000000	-87.877000000	20.0	
T	30.533000000	-91.150000000	20.6	
T	34.982000000	-105.991000000	1881.5	
T	48.164000000	-122.163000000	40.6	
T	38.708000000	-93.176000000	268.4	
T	29.454000000	-99.694000000	359.7	
T	64.650000000	-147.610000000	148.1	
T	32.838000000	-93.838000000	58.7	
T	36.174000000	-94.122000000	412.6	
T	63.467000000	-148.367000000	1039.2	
T	62.430000000	-150.240000000	130.9	
T	34.939000000	-118.127000000	771.2	
T	37.011000000	-112.531000000	1475.9	
T	38.792000000	-84.775000000	247.9	
T	35.506000000	-103.170000000	1225.5	
T	35.619000000	-78.699000000	72.1	
T	40.572000000	-72.075000000	0.0	
T	61.493000000	-149.703000000	80.9	
T	36.631000000	-80.018000000	278.4	
T	65.000000000	-159.417000000	554.5	
T	32.518000000	-94.690000000	118.6	
T	33.039000000	-116.911000000	424.4	
T	35.243000000	-90.571000000	64.2	
T	31.000000000	-102.000000000	690.0	
T	38.078000000	-117.042000000	1655.6	
T	40.768000000	-73.390000000	31.1	
T	34.258000000	-111.336000000	1566.1	
T	56.964000000	-133.916000000	44.0	
T	35.612000000	-97.873000000	373.7	
T	46.373000000	-117.021000000	442.0	
T	28.291000000	-81.437000000	24.1	
T	34.341000000	-112.294000000	1372.9	
T	33.876000000	-84.302000000	301.4	
T	33.898000000	-117.601000000	160.9	
T	42.219000000	-92.026000000	253.1	
T	37.652000000	-97.384000000	393.9	
T	42.978000000	-112.792000000	1340.7	
T	46.309000000	-116.964000000	635.0	
T	38.729000000	-84.395000000	268.6	
T	35.185000000	-80.607000000	213.4	
T	60.490000000	-151.235000000	17.4	
T	42.154000000	-88.511000000	270.2	
T	20.801000000	-95.873000000		
T	36.557000000	-90.205000000	94.3	
T	41.195000000	-96.114000000	318.8	
T	45.550000000	-122.957000000	60.1	
T	39.611000000	-77.010000000	240.0	
T	39.078000000	-84.211000000	254.0	
T	32.455000000	-91.826000000	24.5	
T	29.085000000	-81.042000000	6.4	
T	36.658000000	-76.337000000	3.9	
T	14.062000000	87.217000000		
T	33.872000000	-87.260000000	149.6	
T	33.872000000	-87.260000000	149.6	
T	47.511000000	-94.935000000	422.9	
T	40.732000000	-73.414000000	21.9	
T	32.967000000	-82.838000000	130.3	
T	34.153000000	-83.368000000	263.9	
T	42.344000000	-71.512000000	84.2	
T	30.731000000	-86.154000000	86.0	
T	47.459000000	-122.477000000	97.8	
T	30.739000000	-98.239000000	385.4	
T	40.049000000	-120.981000000	906.1	
T	33.969000000	-112.799000000	720.5	
T	31.084000000	-97.687000000	255.7	
T	35.145000000	-106.795000000	1770.9	
T	44.827000000	-93.461000000	273.4	
T	41.587000000	-95.337000000	364.9	
T	39.364000000	-84.522000000	185.6	
T	34.705000000	-77.051000000	8.6	
T	48.883000000	-122.284000000	75.6	
T	33.009000000	-85.070000000	207.8	
T	40.802000000	-80.161000000	272.5	
T	28.342000000	-80.689000000	1.3	
T	35.136000000	-92.715000000	97.3	
T	33.269000000	-111.811000000	377.0	
T	33.269000000	-111.811000000	377.0	
T	40.876000000	-81.766000000	313.7	
T	39.516000000	-104.834000000	1843.4	
T	33.134000000	-116.578000000	1363.9	
T	33.969000000	-112.799000000	720.5	
T	33.461000000	-111.728000000	420.1	
T	39.223000000	-121.005000000	945.5	
T	39.080000000	-84.209000000	250.8	
T	41.454000000	-87.007000000	231.4	
T	61.395000000	-149.842000000	27.3	
T	35.596000000	-106.902000000	1744.0	
T	26.157000000	-81.771000000	2.3	
T	27.656000000	-80.418000000	5.7	
T	39.909000000	-105.117000000	1714.0	
T	34.274000000	-83.831000000	385.9	
T	36.622000000	-87.415000000	166.1	
T	38.586000000	-77.711000000	98.2	
T	41.431000000	-84.981000000	274.6	
T	43.350000000	-76.388000000	139.6	
T	43.352000000	-76.386000000	140.4	
T	33.272000000	-111.813000000	375.9	
T	41.928000000	-88.708000000	274.6	
T	41.426000000	-74.404000000	139.9	
T	35.570000000	-90.636000000	65.7	
T	44.304000000	-121.539000000	959.2	
T	33.528000000	-112.294000000	320.6	
T	41.121000000	-74.351000000	249.5	
T	31.758000000	-104.776000000	1515.2	
T	34.830000000	-92.256000000	164.5	
T	39.265000000	-122.119000000	17.6	
T	37.461000000	-122.115000000	1.3	
T	36.930000000	-111.450000000	1296.5	
T	29.689000000	-82.273000000	39.3	
T	37.904000000	-111.418000000	2014.5	
T	47.453000000	-99.154000000	488.8	
T	38.378000000	-121.961000000	33.6	
T	47.683000000	-117.324000000	593.2	
T	48.650000000	-122.584000000	1.7	
T	29.445000000	-96.399000000	48.3	
T	37.373000000	-118.364000000	1254.6	
T	45.516000000	-123.014000000	56.9	
T	42.356000000	-72.130000000	179.1	
T	27.504000000	-97.812000000	14.0	
T	33.970000000	-112.795000000	710.7	
T	38.551000000	-97.427000000	411.9	
T	41.012000000	-74.736000000	178.1	
T	34.214000000	-119.094000000	20.4	
T	43.049000000	-73.859000000	129.6	
T	33.796000000	-81.246000000	137.6	
T	44.506000000	-89.025000000	265.2	
T	37.336000000	-121.820000000	39.2	
T	29.739000000	-98.451000000	325.9	
T	48.541000000	-111.871000000	1045.0	
T	40.423000000	-78.212000000	313.5	
T	46.205000000	-115.582000000	1178.8	
T	37.708000000	-77.436000000	61.9	
T	36.683000000	-76.600000000	19.1	
T	29.570000000	-98.468000000	258.1	
T	30.398000000	-87.349000000	8.2	
T	38.098000000	-78.722000000	449.4	
T	38.806000000	104.701000000	1351.6	
T	38.802000000	-76.069000000	14.1	
T	60.540000000	-150.870000000	99.0	
T	29.702000000	-98.027000000	191.9	
T	32.572000000	-116.981000000	157.7	
T	33.636000000	-111.898000000	466.7	
T	61.569000000	-149.851000000	62.3	
T	32.139000000	-111.173000000	734.6	
T	38.269000000	-122.576000000	93.0	
T	34.225000000	-99.283000000	382.9	
T	37.692000000	-121.819000000	117.6	
T	45.779000000	-111.156000000	1356.4	
T	45.779000000	-111.156000000	1356.4	
T	29.159000000	-81.085000000	7.4	
T	40.491000000	85.680000000	897.0	
T	40.491000000	85.680000000	897.0	
T	59.442000000	-151.704000000	8.8	
T	33.689000000	-112.082000000	445.9	
T	34.650000000	-112.428000000	1530.6	
T	36.608000000	-94.728000000	251.0	
T	39.735000000	-111.870000000	1526.5	
T	41.890000000	-121.976000000	1293.4	
T	36.663000000	-121.608000000	22.2	
T	32.959000000	-112.679000000	234.8	
T	43.583000000	-116.523000000	773.3	
T	41.677000000	-70.959000000	20.9	
T	33.896000000	-86.161000000	156.3	
T	37.848000000	-121.516000000	-1.5	
T	33.872000000	-117.980000000	27.7	
T	36.676000000	-121.757000000	41.5	
T	61.216000000	-149.842000000	40.7	
T	34.407000000	-86.933000000	183.3	
T	40.772000000	-80.387000000	379.1	
T	32.623000000	-90.103000000	78.0	
T	39.123000000	-94.593000000	226.8	
T	41.326000000	-86.662000000	208.1	
T	35.794000000	-96.030000000	228.3	
T	43.974000000	-102.904000000	885.8	
T	39.220000000	-121.411000000	45.3	
T	44.022000000	-117.015000000	667.0	
T	34.225000000	-99.283000000	382.9	
T	44.381000000	-73.228000000	46.8	
T	29.658000000	-81.684000000	9.2	
T	29.658000000	-81.684000000	9.2	
T	24.556000000	-81.759000000	0.6	
T	26.918000000	-81.997000000	6.5	
T	28.290000000	-81.437000000	24.1	
T	36.666000000	-76.321000000	4.4	
T	47.905000000	-122.103000000	4.6	
T	44.013000000	-97.087000000	522.0	
T	31.909000000	-111.121000000	1200.1	
T	42.195000000	-89.097000000	221.0	
T	45.830000000	-122.638000000	8.0	
T	42.470000000	-71.290000000	37.8	
T	41.886000000	-91.707000000	262.7	
T	45.538000000	-122.947000000	61.4	
T	43.622000000	-84.737000000	229.4	
T	32.959000000	-96.832000000	192.8	
T	43.984000000	-88.557000000	239.4	
T	48.499000000	-122.662000000	74.7	
T	48.471000000	-122.422000000	35.0	
T	31.547000000	-93.491000000	95.3	
T	32.037000000	-102.102000000	853.3	
T	27.561000000	-99.458000000	151.7	
T	34.487000000	-91.866000000	65.6	
T	27.988000000	-82.020000000	39.5	
T	28.039000000	-97.542000000	14.7	
T	41.148000000	-81.416000000	339.8	
T	39.567000000	-76.202000000	120.3	
T	28.987000000	-80.926000000	3.2	
T	45.350000000	-122.240000000	350.6	
T	27.654000000	-80.423000000	6.0	
T	33.520000000	-95.338000000	122.6	
T	32.301000000	-96.372000000	98.6	
T	26.249000000	-80.118000000	5.6	
T	45.927000000	-118.131000000	1316.2	
T	38.288000000	-75.092000000	0.0	
T	31.920000000	-102.390000000	903.7	
T	29.431000000	-81.676000000	-0.2	
T	33.507000000	-90.270000000	38.0	
T	64.191000000	-51.678000000	70.0	
T	60.938000000	-164.640000000	3.0	
T	28.707000000	-81.582000000	38.7	
T	35.927000000	-78.248000000	53.2	
T	34.264000000	-110.013000000	1947.9	
T	28.228000000	-82.156000000	25.6	
T	40.465000000	-86.613000000	211.7	
T	32.819000000	-117.123000000	130.9	
T	31.156000000	-81.391000000	4.6	
T	31.156000000	-81.391000000	4.6	
T	30.000000000	-85.000000000	7.6	
T	30.336000000	-81.514000000	11.9	
T	15.115000000	145.717000000	62.7	
T	39.050000000	-119.794000000	1420.5	
T	40.903000000	-82.256000000	365.1	
T	41.288000000	-110.982000000	2037.0	
T	38.059000000	-83.980000000	299.7	
T	61.580000000	-150.410000000	13.4	
T	39.909000000	-105.117000000	1714.0	
T	33.688000000	-112.082000000	445.7	
T	41.781000000	-122.468000000	806.8	
T	35.765000000	-80.954000000	294.3	
T	39.192000000	-119.732000000	1432.5	
T	39.191000000	-119.726000000	1434.8	
T	32.967000000	-97.275000000	215.9	
T	46.921000000	-96.816000000	273.6	
T	32.817000000	-116.983000000	141.4	
T	44.580000000	-124.058000000	41.4	
T	32.374000000	-82.080000000	59.5	
T	58.373000000	-134.051000000	0.0	
T	42.184000000	-73.407000000	225.6	
T	37.870000000	-96.690000000	428.9	
T	36.211000000	-115.194000000	667.1	
T	34.346000000	-119.063000000	73.8	
T	40.621000000	-73.273000000	0.0	
T	31.000000000	-86.000000000	26.2	
T	41.520000000	-72.820000000	70.7	
T	40.231000000	-87.411000000	186.8	
T	32.756000000	-108.210000000	1847.1	
T	40.440000000	-105.007000000	1529.8	
T	24.957000000	-81.051000000	0.0	
T	33.180000000	-96.589000000	172.4	
T	29.723000000	-98.694000000	421.1	
T	41.196000000	-96.112000000	317.2	
T	26.339000000	-81.664000000	4.9	
T	32.449000000	-99.733000000	522.3	
T	41.200000000	-74.623000000	123.5	
T	39.402000000	-77.983000000	164.4	
T	38.776000000	-122.992000000	81.2	
T	39.500000000	-119.768000000	1342.1	
T	34.233000000	-117.171000000	1735.4	
T	33.621000000	-111.913000000	445.6	
T	58.356000000	-134.580000000	6.2	
T	46.161000000	-123.640000000	38.8	
T	33.898000000	-117.602000000	160.3	
T	40.169000000	-105.173000000	1542.6	
T	34.199000000	-96.674000000	196.0	
T	44.142000000	-115.314000000	1467.7	
T	40.891000000	-117.807000000	1310.9	
T	40.399000000	-115.420000000	1817.8	
T	42.843000000	-76.445000000	305.6	
T	40.145000000	-111.668000000	1379.4	
T	41.003000000	-81.756000000	294.4	
T	36.732000000	-97.100000000	306.1	
T	45.247000000	-122.770000000	60.3	
T	37.378000000	-79.121000000	254.1	
T	34.092000000	-117.248000000	331.2	
T	44.485000000	-103.788000000	1182.1	
T	39.443000000	-122.960000000	559.8	
T	33.673000000	-117.867000000	14.9	
T	35.491000000	-82.059000000	417.8	
T	43.064000000	-108.460000000	1666.6	
T	27.946000000	-81.774000000	33.9	
T	41.344000000	-92.663000000	230.9	
T	41.944000000	-83.433000000	187.0	
T	27.074000000	-82.437000000	5.2	
T	44.222000000	-93.918000000	309.0	
T	29.109000000	-95.462000000	8.4	
T	40.166000000	-105.166000000	1538.1	
T	33.688000000	-112.082000000	445.7	
T	32.493000000	-80.992000000	22.8	
T	38.428000000	-92.875000000	311.8	
T	35.968000000	-83.900000000	274.3	
T	61.731000000	-150.672000000	19.7	
T	61.752000000	-150.053000000	63.8	
T	61.752000000	-150.053000000	63.8	
T	30.678000000	-97.400000000	164.1	
T	43.961000000	-69.712000000	16.7	
T	36.050000000	-79.473000000	181.9	
T	36.087000000	-78.138000000	96.6	
T	39.372000000	-85.248000000	270.0	
T	38.086000000	-120.759000000	313.6	
T	26.177000000	-80.176000000	0.1	
T	25.644000000	-80.456000000	2.2	
T	21.133000000	-157.150000000	388.1	
T	32.825000000	-117.171000000	116.4	
T	35.207000000	-97.970000000	366.3	
T	38.512000000	-121.493000000	6.1	
T	43.078000000	-94.272000000	369.6	
T	28.765000000	-81.061000000	0.0	
T	47.908000000	-122.281000000	180.0	
T	17.700000000	-64.817000000	21.5	
T	38.400000000	-90.370000000	153.7	
T	33.527000000	-112.295000000	319.5	
T	36.781000000	-76.451000000	6.4	
T	31.011000000	-87.037000000	57.4	
T	41.669000000	-70.280000000	13.1	
T	42.203000000	-89.082000000	223.8	
T	33.974000000	-117.637000000	190.0	
T	30.901000000	-83.881000000	74.5	
T	39.418000000	-77.374000000	88.4	
T	38.366000000	-85.738000000	140.5	
T	46.901000000	-95.072000000	439.3	
T	36.089000000	-88.463000000	147.5	
T	38.933000000	-81.818000000	216.2	
T	33.872000000	-117.978000000	28.5	
T	38.946000000	-76.773000000	48.5	
T	25.651000000	-80.439000000	1.3	
T	39.467000000	-77.018000000	234.0	
T	62.293000000	-153.362000000	432.0	
T	44.251000000	-90.856000000	252.6	
T	29.181000000	-81.059000000	8.8	
T	32.142000000	-111.183000000	728.5	
T	32.037000000	-102.102000000	853.3	
T	42.884000000	-88.585000000	243.9	
T	40.485000000	-78.725000000	650.8	
T	27.924000000	-82.691000000	0.3	
T	42.328000000	-72.611000000	37.0	
T	30.699000000	-96.655000000	129.2	
T	29.952000000	-81.979000000	59.3	
T	45.236000000	-93.986000000	311.5	
T	41.696000000	-88.129000000	200.1	
T	47.021000000	-102.810000000	782.9	
T	37.856000000	-94.001000000	282.0	
T	32.817000000	-117.142000000	127.5	
T	39.566000000	-104.658000000	1874.0	
T	35.143000000	-118.441000000	1211.5	
T	34.096000000	-119.075000000	3.0	
T	34.871000000	-118.206000000	733.9	
T	27.983000000	-82.763000000	19.5	
T	39.789000000	-121.853000000	63.8	
T	34.549000000	-78.777000000	36.4	
T	35.766000000	-80.966000000	287.9	
T	26.248000000	-80.110000000	4.5	
T	28.103000000	-80.645000000	7.2	
T	41.602000000	-109.118000000	1949.8	
T	25.908000000	-80.278000000	1.5	
T	40.078000000	-83.068000000	271.4	
T	32.114000000	-110.939000000	793.6	
T	42.324000000	-88.080000000	236.7	
T	48.467000000	-122.418000000	27.2	
T	30.358000000	-85.796000000	19.6	
T	-15.934000000	-50.140000000	495.2	
T	38.984000000	-76.566000000	15.5	
T	31.352000000	-92.440000000	37.1	
T	40.277000000	-74.813000000	57.7	
T	32.822000000	-83.562000000	130.9	
T	42.402000000	-88.632000000	277.1	
T	39.756000000	-82.657000000	259.1	
T	48.702000000	-116.243000000	536.7	
T	35.653000000	-85.916000000	317.4	
T	34.761000000	-106.745000000	1475.1	
T	39.084000000	-84.205000000	246.3	
T	35.654000000	-105.142000000	2091.9	
T	32.666000000	-107.214000000	1259.8	
T	36.788000000	-98.671000000	441.4	
T	42.594000000	-72.525000000	105.5	
T	34.264000000	-78.727000000	31.2	
T	48.050000000	-122.797000000	30.7	
T	34.434000000	-84.177000000	427.5	
T	48.469000000	-122.420000000	30.9	
T	61.843000000	-151.110000000	68.2	
T	30.397000000	-84.351000000	16.6	
T	42.862000000	-78.717000000	202.2	
T	46.374000000	-117.015000000	436.6	
T	37.817000000	-121.456000000	1.6	
T	47.268000000	-122.578000000	89.7	
T	34.189000000	-102.236000000	1113.1	
T	41.239000000	-76.931000000	156.8	
T	39.691000000	-83.992000000	282.8	
T	36.662000000	-121.614000000	22.0	
T	33.052000000	-112.171000000	381.5	
T	35.074000000	-77.042000000	4.9	
T	40.762000000	-119.212000000	1190.9	
T	37.516000000	-122.254000000	1.3	
T	26.560000000	-97.439000000	3.0	
T	35.923000000	-75.696000000	3.5	
T	45.110000000	-95.129000000	340.0	
T	40.331000000	-74.345000000	22.9	
T	41.454000000	-80.693000000	335.8	
T	61.640000000	-161.446000000	15.3	
T	47.329000000	-122.227000000	17.8	
T	32.461000000	-85.680000000	78.8	
T	45.218000000	-93.434000000	253.8	
T	33.308000000	-111.656000000	415.9	
T	34.019000000	-85.146000000	291.8	
T	32.337000000	-106.916000000	1350.0	
T	32.960000000	-115.367000000	-17.5	
T	30.389000000	-88.753000000	6.3	
T	34.761000000	-106.745000000	1475.1	
T	41.132000000	-81.762000000	359.2	
T	44.252000000	-90.851000000	254.0	
T	34.212000000	-99.289000000	381.8	
T	32.142000000	-111.174000000	731.6	
T	58.830000000	-159.532000000	0.0	
T	37.588000000	-76.474000000	13.2	
T	38.920000000	-78.263000000	205.2	
T	42.665000000	-83.423000000	296.8	
T	40.890000000	-77.602000000	379.0	
T	32.582000000	-100.502000000	673.9	
T	41.772000000	-88.476000000	210.4	
T	45.428000000	-122.942000000	45.4	
T	34.214000000	-119.084000000	23.8	
T	33.496000000	-79.957000000	7.6	
T	46.567000000	-120.536000000	321.8	
T	36.679000000	-76.033000000	4.1	
T	18.457000000	-66.098000000	3.0	
T	42.254000000	-122.266000000	1714.3	
